,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
85,VGG19,400,SelectKBest(k=400),GaussianNB(),0.6682659932659932,0.01479758716723619,0.8775851093958966,0.010460492001591342,0.6226612203811429,0.01569405879713829,0.7284073257890296,0.013613577478827453
86,VGG19,400,SelectKBest(k=400),"SVC(C=1, gamma='auto', kernel='linear')",0.839983164983165,0.007725787141807262,0.8533373210134592,0.006044449694049161,0.9372280930166779,0.00463985850006367,0.8933113636578611,0.004982158106523025
87,VGG19,400,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=400)",KNeighborsClassifier(n_neighbors=23),0.8153198653198654,0.009408801585736426,0.8537124886291816,0.004356417128964519,0.8949481819486416,0.01082512285527876,0.8738243340175614,0.00687997543533123
88,VGG19,400,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=400)",GaussianNB(),0.695117845117845,0.013631686440672527,0.8785659680013154,0.01124341934942598,0.6654106101351104,0.01312400534464909,0.7572303150206523,0.011604395142740928
89,VGG19,400,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=400)","SVC(C=1, gamma='auto', kernel='linear')",0.8428451178451178,0.008241424258787404,0.8563157045056766,0.006860998961603763,0.9374639415827645,0.0036046668511180648,0.8950486147416461,0.005238249357804027
90,VGG19,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=400, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
91,VGG19,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=400, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
92,VGG19,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=400, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8382996632996633,0.005046294541185809,0.8478652696553592,0.004492719099755924,0.9429985489975049,0.004875416200042535,0.8928925279276324,0.003263998827195874
93,VGG19,400,PCA(n_components=400),KNeighborsClassifier(n_neighbors=23),0.8147306397306397,0.009946916664459567,0.8536802351450727,0.004921084849548172,0.8940063128660869,0.01130084473727103,0.8733552498144646,0.007239721372726208
94,VGG19,400,PCA(n_components=400),GaussianNB(var_smoothing=1e-07),0.5406565656565656,0.013448533892573448,0.8184277022119113,0.012009427455815392,0.45907604487084824,0.014366036267223029,0.5881536174767946,0.014477402639036444
95,VGG19,400,PCA(n_components=400),"SVC(C=1, gamma='auto', kernel='linear')",0.8430976430976431,0.009237808025804022,0.8559884025498284,0.007597860379704683,0.938405879991764,0.004815025877357056,0.8952949197645808,0.005892996531438914
96,VGG19,450,SelectKBest(k=450),KNeighborsClassifier(n_neighbors=21),0.8153198653198654,0.009632072163210027,0.8554085094736145,0.005980751847758635,0.8924748223683162,0.009539130897428005,0.8735312444710278,0.006818516142190615
97,VGG19,450,SelectKBest(k=450),GaussianNB(var_smoothing=1e-07),0.6467171717171718,0.01589015137580724,0.8784499987283481,0.011466057907252915,0.5868588257070777,0.01802977364069804,0.7035420373294091,0.015493902618718598
98,VGG19,450,SelectKBest(k=450),"SVC(C=1, gamma='auto', kernel='linear')",0.8416666666666666,0.008377006939141233,0.8551253506252866,0.0076567691576543695,0.9373456706674957,0.002893995531890983,0.8943382217839092,0.005197650112107324
99,VGG19,450,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=450)",KNeighborsClassifier(n_neighbors=25),0.8145622895622896,0.007745022636631964,0.853346540178112,0.004644438245113671,0.894241606820613,0.008651907973029916,0.873297767301777,0.0055478947072129655
100,VGG19,450,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=450)",GaussianNB(),0.6870370370370371,0.01562485474770653,0.8783072232038233,0.010979632049348575,0.6524573798347396,0.015347066264783545,0.7486841860269402,0.013675728472292589
101,VGG19,450,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=450)","SVC(C=1, gamma='auto', kernel='linear')",0.8421717171717171,0.008442723177185085,0.8553691441092017,0.007650694743398103,0.9378170211674435,0.002714431053083497,0.8946873329420324,0.005247226220803403
102,VGG19,450,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=450, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
103,VGG19,450,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=450, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
